country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
GT,Canton las tablas,1,1,30,1,8,1,1,1,0,,,0,3,800,4,1,3,1300,2
GT,TEMUX GRANDE,1,2,58,5,7,1,1,1,0,,,2,3,600,1,1,3,4000,2
GT,Barrio El  Conde,2,1,42,2,3,1,1,1,1,1,1,0,3,400,3,99,,,2
HND,El Encino,1,2,37,7,4,1,1,1,1,1,1,1,2,4000,1,1,2,6900,2
SLV,San cristobal 1,2,1,51,2,5,1,1,1,0,,,2,1,100,2,1,1,300,2
GT,Canton tonina,1,1,47,1,8,1,1,1,1,1,0,0,3,1000,2,1,3,1000,2
GT,Caserio los espinos,1,1,33,1,3,1,1,1,0,,,0,3,90,5,1,3,350,2
HND,"Redondel de los ganaderos, debajo de las gradas.",1,1,33,5,5,1,1,1,0,,,1,2,700,5,0,,,2
HND,Tegucigalpita,1,1,48,1,3,1,1,1,1,1,1,0,2,5000,5,1,2,8200,2
HND,Minerva,2,1,29,2,5,1,1,1,0,,,3,2,1500,5,1,2,2000,2
HND,las vegas,1,1,20,2,4,1,1,1,1,0,,0,2,2000,1,1,2,10000,2
HND,Los Calpules,1,1,28,1,4,1,1,1,0,,,0,2,600,5,0,,,2
GT,Las flores,1,1,59,2,8,1,1,0,1,0,,0,3,800,3,0,,,2
HND,Col. La canada,2,2,45,4,5,1,1,0,1,0,,0,2,2500,5,99,,,2
HND,"Nuevo Porvenir, Santa Cruz de Yojoa",2,1,31,2,5,1,1,0,1,0,,1,2,6000,4,1,2,8000,2
GT,Caserio los espinos,1,1,55,1,4,1,1,0,1,1,0,2,3,200,5,1,3,400,2
GT,Chaculá,2,1,30,1,4,1,1,0,1,0,,1,3,600,5,1,3,1800,2
GT,Aldea Quixal,1,2,40,1,6,1,1,0,0,,,0,3,1200,2,1,3,2400,2
SLV,Comunidad Paniagua,1,1,23,2,2,1,1,0,1,0,,0,1,120,5,1,1,150,2
SLV,San marcos lempa,1,1,29,1,4,1,1,0,0,,,0,1,150,2,1,1,300,2
HND,Bajamar,1,1,25,1,4,1,1,0,1,0,,0,2,1000,4,0,,,2
GT,Camojallito,1,1,22,2,2,1,1,0,1,1,0,1,3,400,5,1,3,500,2
GT,Aldea Qixal,1,2,46,1,7,1,0,0,0,,,1,3,400,5,0,,,2
GT,LOS ARCOS,1,1,41,1,4,1,0,,0,,,1,3,150,3,0,,,2
GT,Tonina,1,2,70,1,3,1,0,,1,1,0,0,3,600,2,0,,,2
GT,Nueva reforma majadas,1,1,19,5,5,1,0,,1,0,,0,3,300,3,1,3,800,2
GT,PEB'IL PAM,1,1,39,4,6,1,0,,1,0,,0,3,800,3,1,3,1200,2
GT,Aldea Las lagunas,1,1,56,1,4,1,0,,1,1,0,1,3,150,2,0,,,2
GT,SAN JUAN IXCOY,2,1,22,5,8,1,0,,0,,,0,3,250,5,99,,,2
SLV,Tierra blanca,1,1,64,1,2,1,0,,0,,,0,1,100,5,0,,,2
SLV,Barrio la playa,2,1,55,2,3,1,0,,1,1,0,0,1,30,4,0,,,2
GT,Caserio el Centro,1,1,25,5,6,1,0,,0,,,0,3,800,2,0,,,2
GT,INCÚ,1,2,20,5,4,1,0,,0,,,1,3,400,2,1,3,1200,2
GT,SAN SEBASTIAN COATAN,2,1,24,5,3,1,0,,1,0,,0,3,1000,1,1,3,7000,2
GT,SAN SEBASTIAN COATAN,2,1,27,5,6,1,0,,0,,,0,3,100,5,99,,,2
SLV,Cuevitas Norte,1,1,30,1,5,1,0,,1,0,,0,1,40,5,1,1,60,2
SLV,Los Silvas,1,1,25,1,3,1,0,,0,,,0,1,50,3,1,1,150,2
SLV,"Canton el valle, palo verde",2,1,32,1,5,1,0,,0,,,0,1,100,2,0,,,2
SLV,Canton tulapa,1,1,42,1,2,1,0,,1,0,,0,1,120,5,1,1,120,2
GT,Aldea las conchas,1,1,28,1,4,1,0,,0,,,0,3,300,5,0,,,2
HND,Sabanagrande,2,1,33,2,2,1,0,,0,,,0,2,1000,5,0,,,2
SLV,Tempisque,1,2,77,9,1,1,0,,0,,,1,1,30,3,1,1,190,2
HND,Sabanagrande,2,1,29,1,3,1,0,,99,,,0,2,2500,2,99,,,2
SLV,Alta vista,2,1,48,1,5,1,0,,0,,,0,1,300,5,0,,,2
HND,Apacinigua,1,1,50,5,6,1,0,,1,0,,3,2,5000,5,99,,,2
HND,Apacinigua,1,1,23,1,3,1,0,,0,,,0,2,2500,1,99,,,2
GT,Aldea cooperativa sechaj,1,1,39,1,6,1,0,,0,,,1,3,500,5,1,3,6000,2
SLV,COLONIA SU CASA,2,2,33,9,1,1,0,,0,,,1,1,70,1,1,1,500,2
SLV,San Cristobal 1,1,1,49,1,3,1,0,,0,,,0,1,50,5,1,1,240,2
HND,La Bomba,2,1,21,2,4,1,0,,1,1,0,0,2,2500,5,0,,,2
HND,Fe y Esperanza,2,1,30,1,5,1,0,,1,0,,0,2,5000,4,1,2,5000,2
GT,Los arcos pradera,1,1,35,1,7,1,0,,1,0,,0,3,2500,4,1,3,3500,2
GT,Los arcos pradera,1,1,36,1,6,1,0,,1,0,,1,3,1700,4,1,3,1300,2
HND,COL. SAN JOSE,1,1,39,2,4,1,0,,1,99,,0,2,2000,4,1,2,5000,2
HND,"Baracoa, Campana",1,1,39,1,4,1,0,,0,,,0,2,2400,5,1,2,3000,2
HND,Funez barahona,1,1,36,4,5,1,0,,0,,,1,2,3000,3,0,,,2
HND,Kilómetro 71 búfalo,1,1,38,2,10,1,0,,1,0,,0,2,6000,2,1,2,12000,2
HND,Barrio Jerusalén,1,1,26,1,5,1,0,,0,,,0,2,1800,5,0,,,2
HND,COL SAN JOSE,1,1,55,1,3,1,0,,1,0,,0,2,1000,5,0,,,2
HND,Kilometro 71 búfalo,2,1,29,2,5,1,0,,1,0,,0,2,6000,2,1,2,8000,2
HND,"Centro, Santa Cruz",2,1,40,2,4,1,0,,1,0,,0,2,2500,3,1,2,5500,2
HND,FLORES DE ORIENTE,1,1,44,2,4,1,0,,0,,,0,3,3000,5,0,,,2
GT,Tajumulco,2,1,50,2,2,1,0,,1,0,,0,3,500,4,1,3,2000,2
HND,"Comunidad, San Isidro",1,1,48,5,9,1,0,,0,,,0,2,4000,5,1,2,20000,2
HND,"Comunidad, San Isidro",1,1,29,1,4,1,0,,0,,,0,2,3000,1,1,2,12500,2
HND,"Barrio El Reparto, Santa Cruz",1,1,54,5,9,1,0,,0,,,0,2,1500,5,1,2,1150,2
HND,"Colonia la San Pablo, Santa Cruz de Yojoa",1,1,24,10,4,1,0,,1,0,,0,2,3000,2,1,2,7200,2
HND,"Barrio Herradura, Santa Cruz de Yojoa",1,1,47,4,5,1,0,,1,0,,0,2,3500,5,0,,,2
GT,Ixmoco,1,1,22,2,9,1,0,,1,0,,2,3,1500,5,1,3,1500,2
GT,Finca la Trinidad,1,2,49,1,7,1,0,,1,0,,0,3,1200,3,1,3,1200,2
GT,La Trinidad,1,2,48,1,4,1,0,,1,0,,0,3,600,3,0,,,2
GT,Colonia nueva Esperanza Chacula,1,1,22,5,5,1,0,,0,,,0,3,1000,2,0,,,2
GT,Tzojbal,1,2,37,1,4,1,0,,0,,,0,3,400,5,1,3,1000,2
GT,Aldea Olopita,1,1,41,5,7,1,0,,1,0,,0,3,500,2,1,3,1000,2
GT,Tzojbal,1,2,36,1,6,1,0,,1,0,,0,3,1200,5,1,3,1300,2
GT,Bulej,1,1,41,1,6,1,0,,0,,,0,3,600,2,1,3,1800,2
HND,Colonia San gaspar 4,1,2,36,1,4,1,0,,1,99,,0,2,1600,2,0,,,2
HND,"Los Pinos, San Isidro",1,1,32,2,4,1,0,,0,,,0,2,2000,5,1,2,0,2
HND,Corinto,1,1,54,1,6,1,0,,0,,,0,2,4000,5,1,2,3000,2
GT,San jacinto,2,1,68,5,5,1,0,,1,0,,0,3,2500,5,1,3,7000,2
GT,Tzala Chiquito,2,1,25,1,4,1,0,,0,,,0,3,800,5,1,3,1400,2
SLV,Barrio calvario,2,1,37,1,4,1,0,,1,0,,0,1,150,5,0,,,2
SLV,Barrio el calvario,2,1,38,1,5,1,0,,1,0,,0,1,150,4,99,,,2
SLV,Puerto Parada,2,2,33,1,4,1,0,,1,0,,1,1,300,3,1,1,400,2
SLV,Paniagua,1,1,58,4,3,1,0,,1,0,,2,1,30,5,1,1,120,2
SLV,Puerto parada,2,1,40,1,6,1,0,,1,0,,0,1,60,4,1,1,100,2
SLV,Paniagua,1,1,43,2,4,1,0,,0,,,0,1,120,5,1,1,200,2
SLV,Puerto parada,2,1,76,5,3,1,0,,1,0,,0,1,280,2,1,1,300,2
SLV,Caserio laescuelita,1,2,47,1,5,1,0,,1,0,,0,1,140,5,1,1,300,2
SLV,La Escuela,1,1,24,1,4,1,0,,1,0,,1,1,100,5,1,1,70,2
SLV,La Escuelita,1,2,47,1,3,1,0,,0,,,0,1,60,5,1,1,200,2
SLV,La Escuelita,1,1,26,1,3,1,0,,1,0,,0,1,70,5,1,1,35,2
SLV,La Escuelita,1,1,20,1,3,1,0,,0,,,0,1,20,1,1,1,80,2
SLV,La Escuelita,1,1,34,1,3,1,0,,0,,,0,1,120,3,1,1,80,2
SLV,Ojo de agua,1,1,72,2,1,1,0,,1,0,,1,1,100,5,0,,,2
SLV,"Ojo de agua, caserio los ayala",1,1,61,9,1,1,0,,0,,,0,1,100,1,0,,,2
SLV,"Ojo de agua, los granados",1,1,38,5,5,1,0,,0,,,0,1,100,5,1,1,150,2
HND,Barrio Municipal,2,1,28,5,3,1,0,,1,1,1,1,2,10000,4,1,2,25000,2
SLV,Tierra blsnca,1,1,50,4,2,1,0,,0,,,0,1,150,4,1,1,200,2
SLV,Puerto el triunfo,2,1,44,1,3,1,0,,1,0,,0,1,40,5,1,1,240,2
